"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8006","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 15:11:21 GMT 2025","passed","Fri Jul 18 15:11:29 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","2139","updateProjectDescription","CrossBrowser Run","Fri Jul 18 15:11:29 GMT 2025","passed","Fri Jul 18 15:11:31 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
"","391","logout","CrossBrowser Run","Fri Jul 18 15:11:33 GMT 2025","passed","Fri Jul 18 15:11:33 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","9244","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 15:11:34 GMT 2025","passed","Fri Jul 18 15:11:43 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","3934","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 15:11:43 GMT 2025","passed","Fri Jul 18 15:11:47 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","1773","deleteProject","CrossBrowser Run","Fri Jul 18 15:11:31 GMT 2025","passed","Fri Jul 18 15:11:33 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
