"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","logout","CrossBrowser Run","Fri Jul 18 13:50:06 GMT 2025","broken","Fri Jul 18 13:50:06 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","10508","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 13:50:06 GMT 2025","passed","Fri Jul 18 13:50:16 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","4482","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 13:50:16 GMT 2025","passed","Fri Jul 18 13:50:21 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","26","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 13:50:06 GMT 2025","broken","Fri Jul 18 13:50:06 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","1","deleteProject","CrossBrowser Run","Fri Jul 18 13:50:06 GMT 2025","broken","Fri Jul 18 13:50:06 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","116","updateProjectDescription","CrossBrowser Run","Fri Jul 18 13:50:06 GMT 2025","broken","Fri Jul 18 13:50:06 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
