"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2656","updateProjectDescription","CrossBrowser Run","Fri Jul 18 14:20:29 GMT 2025","passed","Fri Jul 18 14:20:32 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
"","17258","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 14:20:12 GMT 2025","passed","Fri Jul 18 14:20:29 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","2713","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 14:20:29 GMT 2025","passed","Fri Jul 18 14:20:32 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","1721","deleteProject","CrossBrowser Run","Fri Jul 18 14:20:32 GMT 2025","passed","Fri Jul 18 14:20:34 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","17882","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 14:20:12 GMT 2025","passed","Fri Jul 18 14:20:29 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","563","logout","CrossBrowser Run","Fri Jul 18 14:20:34 GMT 2025","passed","Fri Jul 18 14:20:34 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
