"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","deleteProject","CrossBrowser Run","Fri Jul 18 13:51:48 GMT 2025","broken","Fri Jul 18 13:51:48 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","18914","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 13:51:47 GMT 2025","passed","Fri Jul 18 13:52:06 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","24","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 13:51:47 GMT 2025","broken","Fri Jul 18 13:51:47 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","1","logout","CrossBrowser Run","Fri Jul 18 13:51:48 GMT 2025","broken","Fri Jul 18 13:51:48 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","2283","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 13:52:06 GMT 2025","passed","Fri Jul 18 13:52:09 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","110","updateProjectDescription","CrossBrowser Run","Fri Jul 18 13:51:47 GMT 2025","broken","Fri Jul 18 13:51:48 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
