"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","updateProjectDescription","CrossBrowser Run","Fri Jul 18 13:40:39 GMT 2025","broken","Fri Jul 18 13:40:39 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
"","3460","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 13:40:36 GMT 2025","broken","Fri Jul 18 13:40:39 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","2","logout","CrossBrowser Run","Fri Jul 18 13:40:39 GMT 2025","broken","Fri Jul 18 13:40:39 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","2","deleteProject","CrossBrowser Run","Fri Jul 18 13:40:39 GMT 2025","broken","Fri Jul 18 13:40:39 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","23","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 13:40:36 GMT 2025","broken","Fri Jul 18 13:40:36 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","107","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 13:40:36 GMT 2025","broken","Fri Jul 18 13:40:36 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
