"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1788","updateProjectDescription","CrossBrowser Run","Fri Jul 18 13:54:25 GMT 2025","passed","Fri Jul 18 13:54:27 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
"","35229","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 13:53:50 GMT 2025","passed","Fri Jul 18 13:54:25 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","606","logout","CrossBrowser Run","Fri Jul 18 13:54:38 GMT 2025","passed","Fri Jul 18 13:54:38 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","10675","deleteProject","CrossBrowser Run","Fri Jul 18 13:54:27 GMT 2025","failed","Fri Jul 18 13:54:38 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","35067","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 13:53:50 GMT 2025","passed","Fri Jul 18 13:54:25 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","3647","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 13:54:25 GMT 2025","passed","Fri Jul 18 13:54:29 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
