"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1633","deleteProject","CrossBrowser Run","Fri Jul 18 15:25:27 GMT 2025","passed","Fri Jul 18 15:25:28 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","500","logout","CrossBrowser Run","Fri Jul 18 15:25:28 GMT 2025","passed","Fri Jul 18 15:25:29 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","3922","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 15:25:34 GMT 2025","passed","Fri Jul 18 15:25:38 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","8899","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 15:25:15 GMT 2025","passed","Fri Jul 18 15:25:24 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","9233","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 15:25:25 GMT 2025","passed","Fri Jul 18 15:25:34 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","2346","updateProjectDescription","CrossBrowser Run","Fri Jul 18 15:25:24 GMT 2025","passed","Fri Jul 18 15:25:27 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
