"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17548","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 14:04:52 GMT 2025","passed","Fri Jul 18 14:05:10 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
"","364","logout","CrossBrowser Run","Fri Jul 18 14:05:15 GMT 2025","passed","Fri Jul 18 14:05:15 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","17958","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 14:04:52 GMT 2025","passed","Fri Jul 18 14:05:10 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","3566","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 14:05:10 GMT 2025","passed","Fri Jul 18 14:05:13 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","1619","deleteProject","CrossBrowser Run","Fri Jul 18 14:05:13 GMT 2025","passed","Fri Jul 18 14:05:15 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","3003","updateProjectDescription","CrossBrowser Run","Fri Jul 18 14:05:10 GMT 2025","passed","Fri Jul 18 14:05:13 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
