"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25445","checkCreateNewProject","CrossBrowser Run","Fri Jul 18 13:55:39 GMT 2025","passed","Fri Jul 18 13:56:04 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","checkCreateNewProject"
"","4575","checkCreateTestCaseWithoutValues","CrossBrowser Run","Fri Jul 18 13:56:04 GMT 2025","passed","Fri Jul 18 13:56:09 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateTestCaseWithoutValues"
"","2061","updateProjectDescription","CrossBrowser Run","Fri Jul 18 13:56:04 GMT 2025","passed","Fri Jul 18 13:56:06 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","updateProjectDescription"
"","1230","deleteProject","CrossBrowser Run","Fri Jul 18 13:56:06 GMT 2025","passed","Fri Jul 18 13:56:08 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","deleteProject"
"","754","logout","CrossBrowser Run","Fri Jul 18 13:56:08 GMT 2025","passed","Fri Jul 18 13:56:08 GMT 2025","tests.ui.positive_tests.PositiveProjectTest","Chrome","tests.ui.positive_tests.PositiveProjectTest","logout"
"","25286","checkCreateNewProjectWithoutValues","CrossBrowser Run","Fri Jul 18 13:55:39 GMT 2025","passed","Fri Jul 18 13:56:04 GMT 2025","tests.ui.negative_tests.NegativeProjectTest","FireFox","tests.ui.negative_tests.NegativeProjectTest","checkCreateNewProjectWithoutValues"
